5e-07,4e-07,3e-07,0.0009,0.0007144,0.0007108,3e-07,0.0007645,0.00075110.0007645,0.0007511
4e-07,3e-07,3e-07,0.0007548,0.0007167,0.0007159,3e-07,0.0007517,0.00075160.0007517,0.0007516
5e-07,3e-07,3e-07,0.0007422,0.0007402,0.0007392,3e-07,0.0008208,0.00073810.0008208,0.0007381
5e-07,4e-07,2e-07,0.0007664,0.0007633,0.0008501,3e-07,0.0008622,0.00087780.0008622,0.0008778
4e-07,3e-07,3e-07,0.0007938,0.0008284,0.0008462,3e-07,0.0007898,0.00078860.0007898,0.0007886
5e-07,3e-07,3e-07,0.000815,0.0008167,0.0008145,3e-07,0.0008132,0.00081120.0008132,0.0008112
5e-07,3e-07,3e-07,0.0008844,0.0008392,0.0008369,3e-07,0.0008356,0.00093830.0008356,0.0009383
5e-07,3e-07,2e-07,0.0008953,0.0008669,0.0008623,3e-07,0.0009743,0.00086510.0009743,0.0008651
5e-07,3e-07,3e-07,0.0008916,0.0008926,0.0009677,3e-07,0.0008873,0.00088530.0008873,0.0008853
5e-07,3e-07,2e-07,0.0009143,0.0009948,0.0009144,4e-07,0.0011424,0.00097420.0011424,0.0009742
5e-07,3e-07,2e-07,0.000951,0.0009847,0.0009359,3e-07,0.00098,0.00093950.00098,0.0009395
5e-07,3e-07,3e-07,0.0009636,0.0009631,0.0010077,3e-07,0.0009595,0.00095660.0009595,0.0009566
5e-07,3e-07,2e-07,0.001029,0.0009847,0.0010874,3e-07,0.0009855,0.00102630.0009855,0.0010263
4e-07,3e-07,3e-07,0.001011,0.0010102,0.001051,3e-07,0.0010103,0.00100710.0010103,0.0010071
5e-07,3e-07,3e-07,0.0010341,0.0010771,0.0010311,3e-07,0.0010297,0.00102970.0010297,0.0010297
5e-07,3e-07,3e-07,0.0012515,0.0010616,0.0011196,3e-07,0.0011147,0.00105890.0011147,0.0010589
4e-07,3e-07,3e-07,0.0011276,0.0010804,0.0010791,3e-07,0.00108,0.00113520.00108,0.0011352
