Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
5550,0.0008,0.0006,0.0003,3.052,3.094,3.4079,0.0008,4.1682,2.9585
5600,0.002,0.0004,0.0003,3.018,3.5023,7.5041,0.0007,3.1732,3.398
5650,0.0007,0.0007,0.0003,3.0703,3.3046,3.2726,0.0006,3.2016,4.2269
5700,0.0007,0.0007,0.0005,3.3326,3.2246,3.0489,0.0014,3.2222,2.9777
5750,0.0005,0.0004,0.0003,2.9832,2.9406,2.9686,0.0005,3.0129,2.9758
5800,0.0006,0.0004,0.0004,2.9597,4.3553,4.257,0.0008,3.7556,3.1718
5850,0.0007,0.0004,0.0003,3.0067,3.1024,3.713,0.0005,3.554,3.3868
5900,0.0019,0.0006,0.0003,4.8144,3.3874,3.2713,0.0006,3.3079,4.0247
5950,0.0011,0.0006,0.0003,3.2563,3.0811,3.0589,0.0005,3.1324,3.1298
6000,0.0006,0.0003,0.0003,3.0873,4.2349,4.4706,0.0006,3.522,4.127
6050,0.0011,0.0007,0.0004,3.2017,3.8498,3.4908,0.0005,4.2767,3.3568
6100,0.001,0.0007,0.0005,3.3429,3.2188,4.2544,0.0006,3.9391,3.5769
6150,0.0007,0.0005,0.0003,5.3109,3.4782,3.4388,0.0004,4.9633,3.5278
6200,0.0006,0.0005,0.0004,4.3144,3.9853,3.1792,0.0006,3.2205,3.2099
6250,0.0007,0.0003,0.0003,3.276,3.3486,3.2046,0.0003,3.3782,3.1974
6300,0.0005,0.0003,0.0003,3.9025,4.1838,3.2247,0.0005,3.1972,3.2519
6350,0.0006,0.0003,0.0003,3.2446,3.2903,3.5213,0.0006,3.2444,4.1189
6400,0.0007,0.0003,0.0003,3.3283,3.6117,3.4214,0.0004,3.4729,3.8429
6450,0.0005,0.0003,0.0003,3.298,3.4096,3.4172,0.0006,3.3071,3.3957
6500,0.0005,0.0004,0.0003,5.9745,3.7023,4.2092,0.0006,3.424,3.2103
6550,0.0006,0.0003,0.0003,3.3786,3.8366,4.0071,0.0008,4.7941,4.7025
6600,0.0008,0.0003,0.0004,3.6441,3.3246,3.7768,0.0004,3.3271,3.5029
6650,0.0004,0.0004,0.0002,3.7682,3.3505,3.3485,0.0004,3.559,4.8667
6700,0.0006,0.0003,0.0003,5.1387,4.0638,3.9802,0.0004,3.9027,3.5481
6750,0.0005,0.0004,0.0003,4.2422,3.4358,3.8165,0.0003,3.3852,3.4216
6800,0.0006,0.0004,0.0003,3.7598,5.2809,3.8576,0.0006,3.8727,3.621
6850,0.001,0.0011,0.0006,5.4253,4.3558,3.9043,0.0004,3.6718,3.5915
6900,0.0005,0.0003,0.0003,3.7487,3.8395,3.9965,0.0005,3.4942,3.5572
6950,0.0006,0.0003,0.0003,3.6024,4.3977,3.5007,0.0004,3.6623,3.6104
