2e-07,1e-07,1e-07,2e-07,5e-07,2.1e-06,1e-07,2.5e-06,2.2e-062.5e-06,2.2e-06
2e-07,2e-07,1e-07,2e-07,1.2e-06,2.1e-06,1e-07,2.3e-06,2.1e-062.3e-06,2.1e-06
2e-07,1e-07,1e-07,1e-07,1.2e-06,2.1e-06,1e-07,2.4e-06,2.2e-062.4e-06,2.2e-06
2e-07,2e-07,2e-07,2e-07,1.2e-06,2.2e-06,1e-07,2.4e-06,2.2e-062.4e-06,2.2e-06
1.49e-05,1e-07,1e-07,1e-07,1.2e-06,8e-07,1e-07,2.5e-06,2.5e-062.5e-06,2.5e-06
3e-07,2e-07,2e-07,2e-07,4e-07,7e-07,2e-07,2.9e-06,2.7e-062.9e-06,2.7e-06
3e-07,1e-07,1e-07,1e-07,1.3e-06,2.5e-06,2e-07,2.7e-06,2.4e-062.7e-06,2.4e-06
2e-07,1e-07,1e-07,1e-07,1.3e-06,2.5e-06,1e-07,2.7e-06,2.5e-062.7e-06,2.5e-06
2e-07,1e-07,1e-07,1e-07,2e-07,2.6e-06,1e-07,2.9e-06,2.6e-062.9e-06,2.6e-06
2e-07,1e-07,1e-07,1e-07,1.4e-06,7e-07,1e-07,2.8e-06,2.9e-062.8e-06,2.9e-06
2e-07,2e-07,1e-07,2e-07,1.4e-06,2.7e-06,2e-07,2.9e-06,2.7e-062.9e-06,2.7e-06
3e-07,1e-07,1e-07,2e-07,1e-06,2.8e-06,1e-07,3.1e-06,2.8e-063.1e-06,2.8e-06
3e-07,1e-07,2e-07,2e-07,1.67e-05,1.3e-06,1e-07,3.1e-06,3.1e-063.1e-06,3.1e-06
2e-07,2e-07,1e-07,1e-07,1.5e-06,2.9e-06,1e-07,3.1e-06,2.9e-063.1e-06,2.9e-06
3e-07,1e-07,1e-07,2e-07,1.7e-06,3.1e-06,2e-07,4.4e-06,3.1e-064.4e-06,3.1e-06
2e-07,1e-07,1e-07,1e-07,1.6e-06,3e-06,1e-07,3.3e-06,3.1e-063.3e-06,3.1e-06
2e-07,1e-07,1e-07,1e-07,1.5e-06,3.1e-06,1e-07,3.4e-06,3.1e-063.4e-06,3.1e-06
2e-07,2e-07,2e-07,2e-07,1.7e-06,3.2e-06,1e-07,3.4e-06,3.2e-063.4e-06,3.2e-06
3e-07,2e-07,2e-07,2e-07,1.8e-06,2.4e-06,1e-07,3.5e-06,3.4e-063.5e-06,3.4e-06
3e-07,2e-07,2e-07,2e-07,1.6e-06,1.2e-06,1e-07,3.6e-06,3.7e-063.6e-06,3.7e-06
2e-07,2e-07,2e-07,2e-07,1.7e-06,3.4e-06,1e-07,3.7e-06,3.5e-063.7e-06,3.5e-06
3e-07,1e-07,1e-07,1e-07,2.49e-05,1.7e-06,2e-07,3.9e-06,4e-063.9e-06,4e-06
3e-07,1e-07,1e-07,1e-07,1.9e-06,3.6e-06,1e-07,3.8e-06,3.6e-063.8e-06,3.6e-06
3e-07,1e-07,2e-07,2e-07,2e-06,1.3e-06,1e-07,3.9e-06,4e-063.9e-06,4e-06
3e-07,1e-07,1e-07,1e-07,2e-06,1.6e-06,1e-07,1.83e-05,3.9e-061.83e-05,3.9e-06
3e-07,2e-07,2e-07,2e-07,2e-06,1.7e-06,1e-07,4e-06,4e-064e-06,4e-06
2e-07,1e-07,1e-07,1e-07,2e-06,3.9e-06,2e-07,4.1e-06,3.8e-064.1e-06,3.8e-06
3e-07,2e-07,2e-07,2e-07,2.1e-06,3.9e-06,1e-07,4.1e-06,5.4e-064.1e-06,5.4e-06
3e-07,2e-07,2e-07,2e-07,2.1e-06,4e-06,1e-07,4.2e-06,4e-064.2e-06,4e-06
3e-07,2e-07,2e-07,2e-07,2.1e-06,9e-07,1e-07,2.55e-05,4.8e-062.55e-05,4.8e-06
3e-07,1e-07,1e-07,2e-07,2.3e-06,4.4e-06,1e-07,4.7e-06,4.4e-064.7e-06,4.4e-06
3e-07,2e-07,1e-07,2e-07,9e-07,5.4e-06,1e-07,6.7e-06,5.5e-066.7e-06,5.5e-06
2e-07,2e-07,2e-07,2e-07,2.2e-06,4.3e-06,1e-07,4.7e-06,4.4e-064.7e-06,4.4e-06
3e-07,2e-07,1e-07,2e-07,2.5e-06,4.6e-06,1e-07,5e-06,4.6e-065e-06,4.6e-06
2e-07,1e-07,1e-07,2e-07,2.4e-06,3.7e-06,1e-07,4.9e-06,4.6e-064.9e-06,4.6e-06
3e-07,2e-07,2e-07,2e-07,8e-07,4.6e-06,1e-07,5.1e-06,4.6e-065.1e-06,4.6e-06
