N,Srch0,SrchM,Srch1
9650,0.0001,0.4825,0
9700,0,0.3395,0
9750,0,0.43875,0
9800,0.0001,0.49,0.98
9850,0,0.44325,0.985
9900,0.0001,0.495,0
9950,0,0.34825,0.995
10000,0.0001,0.45,0
10050,0.0001,0.25125,1.005
10100,0.0001,0.505,1.01
10150,0,0.76125,1.015
10200,0.0004,0.459,1.02
10250,0.0001,0.25625,0
10300,0,0.3605,0
10350,0.0001,0.5175,0
10400,0.0001,0.468,0
10450,0,0.418,1.045
10500,0.0001,0.3675,1.05
10550,0.0001,0.36925,0
10600,0.0002,0.424,0
10650,0.0002,0.5325,1.065
10700,0,0.6955,1.07
10750,0,0.48375,1.075
10800,0.0001,0.432,0
10850,0.0001,0.434,1.085
10900,0.0001,0.2725,0
10950,0,0.3285,1.095
11000,0,0.385,1.1
11050,0.0001,0.7735,1.105
11100,0.0001,0.555,0
11150,0.0001,0.50175,1.115
11200,0,0.336,1.12
11250,0.0001,0.39375,1.125
11300,0,0.6215,1.13
11350,0.0001,0.3405,0
11400,0,0.342,0
11450,0,0.40075,0
11500,0.0002,0.6325,1.15
11550,0.0001,0.40425,1.155
11600,0.0001,0.464,0
11650,0.0001,0.64075,0
11700,0.0001,0.468,1.17
11750,0.0001,0.5875,1.175
11800,0.0001,0.354,1.18
11850,0.0001,0.53325,0
11900,0,0.357,1.19
11950,0.0001,0.65725,0
12000,0.0001,0.36,1.2
12050,0.0001,0.482,0
12100,0.0001,0.5445,0
12150,0.0001,0.729,0
12200,0.0001,0.488,1.22
12250,0.0001,0.6125,0
12300,0.0001,0.615,1.23
12350,0,0.43225,1.235
12400,0.0001,0.62,0
12450,0.0002,0.43575,0
12500,0.0001,0.5,0
12550,0,0.753,1.255
12600,0.0001,0.504,1.26
12650,0,0.44275,0
12700,0,0.3175,1.27
12750,0,0.57375,0
12800,0,0.512,1.28
12850,0,0.514,1.285
12900,0.0001,0.516,1.29
12950,0.0001,0.71225,1.295
13000,0.0001,0.65,1.3
13050,0.0001,0.45675,1.305
13100,0.0002,0.7205,1.31
13150,0.0001,0.72325,1.315
13200,0.0001,0.726,0
13250,0,0.53,1.325
13300,0,0.8645,1.33
13350,0.0001,0.534,0
13400,0,0.536,1.34
13450,0.0001,0.47075,0
13500,0.0001,1.35,0
13550,0,0.542,0
13600,0.0001,0.544,1.36
13650,0.0001,0.61425,1.365
13700,0.0001,0.4795,0
13750,0.0001,0.61875,0
13800,0.0002,0.552,0
13850,0.0001,0.62325,0
13900,0.0001,0.556,1.39
13950,0,0.34875,0
14000,0.0001,0.42,0
14050,0.0001,0.63225,1.405
14100,0.0001,0.564,0
14150,0.0001,0.566,0
14200,0.0003,0.994,1.42
14250,0,0.49875,1.425
14300,0.0003,1.3585,0
14350,0.0003,0.861,1.435
14400,0.0002,1.008,1.44
14450,0.0001,0.65025,0
14500,0.0001,0.5075,1.45
14550,0.0001,0.80025,1.455
14600,0,0.584,1.46
14650,0.0001,0.4395,1.465
14700,0.0001,0.735,1.47
14750,0.0001,0.4425,1.475
14800,0,0.592,0
14850,0.0001,0.594,1.485
14900,0.0001,0.8195,0
14950,0.0001,0.598,1.495
15000,0,0.825,1.5
15050,0.0001,0.67725,1.505
15100,0.0001,0.5285,1.51
15150,0.0001,0.606,0
15200,0.0001,1.064,1.52
15250,0.0001,0.53375,1.525
15300,0.0001,0.6885,1.53
15350,0.0001,1.0745,1.535
15400,0,0.539,0
15450,0.0001,0.84975,0
15500,0.0002,0.775,1.55
15550,0.0001,0.54425,1.555
15600,0.0001,0.468,0
15650,0.0001,1.64325,1.565
15700,0.0001,0.5495,1.57
15750,0,0.55125,1.575
15800,0.0001,0.869,1.58
15850,0,0.951,1.585
15900,0.0001,0.795,1.59
15950,0.0003,0.957,0
16000,0,0.8,0
16050,0.0001,0.72225,1.605
16100,0.0206,17.227,1.61
16150,0,0.646,1.615
16200,0,0.648,1.62
16250,0.0001,0.8125,1.625
16300,0.0001,0.489,1.63
16350,0.0001,0.654,1.635
16400,0.0003,0.738,0
16450,0.0001,1.06925,1.645
16500,0.0001,0.66,1.65
16550,0.0001,0.74475,0
16600,0.0001,1.079,1.66
16650,0.0001,0.8325,1.665
16700,0.0002,0.5845,1.67
16750,0.0001,1.34,0
